ability,n. 能力，能耐；才能
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
homosexual,"n. 同性恋者
adj. 同性恋的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
infection,n. 感染；传染；影响；传染病
inject,vt. 注入；注射
kidney,n.  肾脏；腰子；个性
knuckle,"n. 关节；指关节；指节；膝关节；肘
vi. 开始认真工作
vt. 用指关节敲打"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
liver,n. 肝脏；生活者，居民
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
nicotine,n.  尼古丁； 烟碱
nosebleed,n. 鼻出血；衄血
obesity,n. 肥大，肥胖
ointment,n. 药膏； 油膏
penicillin,n. 盘尼西林（青霉素）
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
sprain,"n. 扭伤
vt. 扭伤"
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
watery,adj. 水的；淡的；湿的；松软的；有雨意的
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
arm chair,"un. 扶手椅
 有扶手的椅子；圈椅；安乐椅"
be accustomed to,"na. 惯于(苦干,早起)
 习惯于；习惯於；习以为常"
be allergic to, 对……过敏；过敏的；花粉过敏
blood sugar,"n. 血糖
 血糖维护；血糖值；血糖检查"
bring ... back to life,
electric shock,"n. 触电；电击；电休克
 电震；电击危险；电击触电"
fall ill,"na. 病倒；染疾
 生病；患病；得病"
feel like,"na. 想要…；愿意…；感觉像是…
 觉得；感到想要做；想做"
feel like doing, 想要做某事；觉得想做；想干某事
first aid,"n. 急救
 急救方法；急救员；急救知识"
get into,"na. 进入；穿上；成癖；陷于
 陷入；卷入；养成"
heart attack,"n. 心脏病发作
 心肌梗塞；心脏病突发；突发性心脏病"
hold out,"na. 伸出；提出；维持；制止
 坚持；支持；坚持，不屈服"
in good condition,"na. 情况良好；健康；(物件)无破损；(食品)新鲜
 状态良好；状况良好；完好无损"
in poor condition,
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
make room for,"na. 让地位给…
 给……腾出地方；腾出空间；给……腾地方"
of vital importance,"na. 极重要的
 至关重要；生死攸关；极其重要"
operating theatre,"n. 手术室
 手术费用；手术房舱；生化奇兵无限手术室"
over and over again,"na. 翻来覆去
 反复；一次又一次；反复地"
pass away,"na. 消失；Vi. 经过；去；终止
 去世；逝世；过世"
pressure point,"n. 压迫止血点；压觉点；危机地点（或局面）
 压点；压力点；血压点"
put one's hands on,"un. 弄到手；算出来
 找到"
take risks,"un. 冒险
 冒风险；勇于冒险；承担风险"
take a risk,"na. 冒险；承保…的险；承受保险
 承担风险；先人一步冒险；冒风险"
toilet paper,"n. 卫生纸；手纸；厕纸
 草纸；厕所纸；求购卫生纸"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
wear sb. out,"na. 精疲力尽；用坏；穿破；磨破
 磨损；穿坏；穿旧"
chewing gum,"n. 口香糖
 香口胶；嚼口香糖；橡皮糖"
gene therapy,"n. 基因疗法；基因治疗
 基因治療；基因療法；基因医疗"
life expectancy,"n. 预期寿命；预计存在（或持续）的期限
 平均寿命；平均余命；期望寿命"
acquire,vt. 获得；取得；学到；捕获
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
analyst,n. 分析者；精神分析医师；分解者
assess,vt. 评定；估价；对…征税
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
available,adj. 可获得的；可购得的；可找到的；有空的
billboard,"n. 广告牌；布告板
vt. 宣传；介绍"
biochemist,n. 生物化学家
bioinformatician, 生物信息学者；生物信息学研究者；生物信息学家
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
consultant,n. 顾问；咨询者；会诊医生
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
deduction,n. 扣除，减除；推论；减除额
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
eager,adj. 渴望的；热切的；热心的
edition,"n. 版本
版次
集"
electrician,n. 电工；电气技师
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
guilty,adj. 有罪的；内疚的
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
miner,n. 矿工；开矿机
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
organisational,组织的
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
personality,n. 个性；品格；名人
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
profession,n. 职业，专业；声明，宣布，表白
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
profound,adj. 深厚的；意义深远的；渊博的
qualification,n. 资格；条件；限制；赋予资格
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
receiver,n. 接收器；接受者；收信机；收款员，接待者
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
require,vt. 需要；要求；命令
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
satisfying,adj. 令人满意的；令人满足的
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
technical,adj. 工艺的，科技的；技术上的；专门的
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
typist,n. 打字员，打字者
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
youngster,n. 年轻人；少年
accusation,n. 控告，指控；谴责
concise,adj. 简明的，简洁的
cutting,"n.  切断；剪辑；开凿
v. 削减（cut的ing形式）；采伐；切开
adj. 锋利的；严寒的；尖酸刻薄的"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
enclose,vt. 围绕；装入；放入封套
idiomatic,adj. 惯用的；符合语言习惯的；通顺的
imaginative,adj. 富于想象的；有创造力的
interviewee,n. 被接见者；被访问者
pathologist,n. 病理学家
scoop,"n. 勺；铲子；独家新闻；凹处
vt. 掘；舀取；抢先获得；搜集"
unforgettable,adj. 难忘的
ahead of,"prep. （时间、空间）在…前面；早于；领先
 先于；在……的前面；优于"
be burnt out, 累垮；被火烧光；筋疲力尽
get burnt out,
believe in,"v. 相信
 信任；信仰；信奉"
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
find out,"na. 查出；发现；看清…的面目；识破
 查明；找出；了解"
go into detail,"na. 逐一细说
 详述；详细描述；详细叙述"
go into details,"na. 详述
 逐一细说；详细说明；详细叙述"
have an effect on,"na. 对…有影响
 对……产生影响；对……产生作用；对……有效果"
in case,"na. 以防万一；作为准备；如果；免得
 假使；假如；以防免得"
in favour of,"na. 赞成；有利于；付与
 支持；赞同；以……为受益人"
in practice,"na. 事实上；在实践中；在不断练习中；练习充足
 实际上；在实际中；从实践上看"
in response to,"na. 应…而
 响应；回答；对…做出反应"
in theory, 理论上；从理论上看；在理论上
keep up with,"na. 不落后
 跟上；赶上；紧跟"
make out,"na. 理解；发现；起草；证明
 辨认出；填写；开列"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
on average, 平均；平均起来；通常
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
 路过；走过；忽略"
satellite dish,"n. 卫星电视碟形天线
 卫星天线；碟形卫星天线；圆盘式卫星电视天线"
sewing machine,"n. 缝纫机
 缝纫机原理；锁线装订机；缝合机"
sit up,"na. 仰卧起坐
 熬夜；坐直；坐正"
so as to,"na. (= in order to) 以便；为使
 为了；为的是；使得"
so as to do sth.,
speak up,"na. “speak out”的变体
 大声说；大声地说；大声点"
take charge of,"na. 看守
 负责；担任；主管"
take notice of,"v. 注意；理会；留心
 注意到；在意；睬"
take ... for granted,"v. 想当然
 认为…理所当然；视为当然；认为…是理所当然"
the media, 媒体；传媒；大众传播媒体
turn over,"na. ￡ 500 a week 每星期卖得五百镑
 移交；翻转；翻过来"
curriculum vitae,"n. 简历；（大学教师求职用的）工作履历
 个人简历；履历表；个人履历"
CV,
ample,adj. 丰富的；足够的；宽敞的
appetising,adj. 促进食欲的，开胃的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
bakery,n. 面包店
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
brewery,n. 啤酒厂
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
carnival,n. 狂欢节，嘉年华会；饮宴狂欢
casually,adv. 随便地；偶然地；临时地
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
chopstick,n. 筷子
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
confusion,n. 混淆，混乱；困惑
cookery,n. 烹调术；烹调业
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
cream,n. 奶油，乳脂；精华；面霜；乳酪
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
cuisine,n. 烹饪，烹调法
cutlet,n. 肉片；炸肉排；炸肉片
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
delicacy,n. 美味；佳肴；微妙；精密；精美；敏锐，敏感；世故，圆滑
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
empire,n. 帝国；帝王统治，君权
era,n. 时代；年代；纪元
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
filling,"n. 填充；填料
v. 填满；遍及（fill的ing形式）"
firearm,n. 火器；枪炮
fixed,"adj. 确定的；固执的；<美口>处境...的；准备好的
v. 修理（过去式）"
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
foreground,n. 前景；最显著的位置
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
fusion,n. 融合；熔化；熔接；融合物； 核聚变
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
greengrocer,n. 蔬菜水果商；菜贩
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿"
herb,n. 香草，药草
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
hoof,"n. 蹄；人的脚
vt. 用蹄踢；步行
vi. 步行；踢；跳舞"
hut,"n. 小屋；临时营房
vt. 使住在小屋中；驻扎
vi. 住在小屋中；驻扎"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
infamous,adj. 声名狼藉的；无耻的；邪恶的；不名誉的
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
intestine,"n. 肠
adj. 内部的；国内的"
justifiably,adv. 言之有理地， 无可非议地
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
landowner,n. 地主，土地所有者
loaf,"n. 条，一条面包；块；游荡
vt. 游荡；游手好闲；虚度光阴
vi. 游荡；游手好闲；虚度光阴"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
mash,"n. 饲料；糊状物；麦芽浆
vt. 捣碎；调情"
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
memory,n. 记忆，记忆力；内存， 存储器；回忆
menu,"n. 菜单
饭菜"
multicultural,adj. 多种文化的；融合或具有多种文化的
obsess,vt. 迷住，缠住；使…着迷；使…困扰
onion,n. 洋葱；洋葱头
outnumber,vt. 数目超过；比…多
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
pint,n. 品脱；一品脱的量；一品脱牛奶或啤酒
plantation,"n. 栽植；殖民；大农场
adj. 适用于种植园或热带、亚热带国家的"
pork,"n. 猪肉
vt. 与女子性交"
reheat,"n. 再热（炉）
vt. 再热；将…重新加热"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
sausage,n. 香肠；腊肠；装香肠的碎肉
seaweed,n. 海藻，海草
songbird,n. 鸣禽，鸣鸟；女歌手；告密者
syrup,n. 糖浆，果汁；含药糖浆
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
tuna,n. 金枪鱼，鲔鱼
unrecognisable,adj. （人或事物）变得难以辨认的，无法识别的
walnut,"n. 胡桃；胡桃木
adj. 胡桃科植物的"
willow,"n.  柳树； 柳木制品
adj. 柳木制的"
yoghurt,n. 酸奶（等于yoghourt）；酸乳酪
asparagus,n. 芦笋；龙须菜；天冬
Polynesian,"n. 波利尼西亚人
adj. 波利尼西亚的；波利尼西亚人的"
samosa,n. 萨莫萨三角饺
barrel organ,"n. 手摇风琴（街头卖艺常用）
 手摇风琴筒；鼓形风琴；手摇风琴筒风琴"
be in the mood, 想要做某事；在状态；有心情
feel in the mood,
be in the mood for sth.,
feel in the mood for sth.,
be in the mood to do sth.,
feel in the mood to do sth.,
be laden with, 富含；充满；负载着
be nostalgic for,
bean curd,"na. 豆腐
 豆干；豆腐类；豆腐类一款"
belong to,"v. 属于；附属
 归于；归属；属於"
brand new,"adj. 全新的；崭新的
 新约神话；全新品；焕然一新"
burn out,"na. 烧起来；烧光；烧尽；烧断
 烧掉；烧坏；熄灭"
Christmas card,"n. 圣诞贺卡
 圣诞卡；圣诞卡片；耶诞卡"
Christmas Eve,"n. 圣诞节前夕；圣诞节前夜
 平安夜；圣诞夜；圣诞前夕"
Christmas tree,"n. 圣诞树
 采油树；耶诞树；装饰圣诞树"
come to an end,"na. 完结
 结束；终止；告终，结束"
consist of,"v. 由…合成
 由……组成；由…构成；包括"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
 切碎；剪碎；宰后得肉"
dinner jacket,"n. 无尾礼服上衣
 晚礼服；小礼服；半正式礼服"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
 穿上盛装；装饰；精心打扮"
for good,"na. 永久地
 永远；一劳永逸地；永远地"
for good measure,"un. 作为额外增补
 另外；作为额外增添；作为额外添加"
fruit juice,"na. 果子汁
 果汁；水果汁；什果汁"
have connection with,"un. 联运车(船)；有贸易关系的商号；食物联系；连接
 与…有联系；与……有关系；和……有关系"
hot dog,"n. 热狗（香肠面包）；（滑雪、滑雪板运动或冲浪的）灵巧动作表演者
adj. 极好的
 红肠面包；热狗肠；小红肠"
in addition to,"na. 加之
 除…之外；除了；除…外"
in short,"na. 简单地说；总之
 简言之；简而言之；总而言之"
make fun of,"na. 嘲弄
 取笑；嘲笑；开玩笑"
moon cake,"n. 月饼
 中国中秋节应时的食品；中秋月饼；闷极"
no wonder, 难怪；怪不得；不足为奇
play a trick on sb.,
service charge,"n. （另加的）服务费；（付给餐馆侍者的）小费；（付给房东的）服务费
 手续费；可能免手续费；服务收费"
set fire to,"na. 点燃；放火
 使燃烧；放火烧；纵火"
strike ... into one's heart,
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
toy with, 玩弄；摆弄；不很认真地考虑
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
artillery,n. 火炮；大炮；炮队；炮术
backpack,"n. 双肩背包，背包；远足用的背包
vt. 挑运；把…放入背包
vi. 背负简便行李旅行；挑运"
bandage,"n. 绷带
vt. 用绷带包扎"
barbershop,"n. 理发店
adj. 有男声合唱之和声的"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
bedding,"n. 寝具；（建筑） 基床；（家畜）草垫
adj. 适于花坛种植的
vt. 把…栽入苗床（bed的ing形式）
vi. 睡（bed的ing形式）"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
cheers,v. 感谢；谢谢；再见
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
commander,n. 指挥官；司令官
communism,n. 共产主义
communist,"n. 共产党员；共产主义者
adj. 共产主义的"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
confidential,adj. 机密的；表示信任的；获信任的
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
council,n. 委员会；会议；理事会；地方议会；顾问班子
courage,n. 勇气；胆量
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
disagreement,n. 不一致；争论；意见不同
disobey,v. 违反；不服从
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
encourage,vt. 鼓励，怂恿；激励；支持
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
firework,n. 烟火；激烈情绪
fright,"n. 惊吓；惊骇
vt. 使惊恐"
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
greed,n. 贪婪，贪心
heroism,n. 英勇，英雄气概；英雄行为；勇敢的事迹
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
liberation,n. 释放，解放
memorable,adj. 显著的，难忘的；值得纪念的
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
oilfield,n. 油田
operation,n. 操作；经营； 手术； 运算
peacekeeper,n. （交战国之间的）停火执行者
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
razor,"n. 剃刀
vt. 剃，用剃刀刮"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
reunite,"vi. 重聚；再结合；再联合
vt. 使重聚；使再结合；使再联合"
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
senseless,adj. 愚蠢的；无知觉的；无意识的
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
shocked,"v. 使震动（shock的过去式）
adj. 震惊的；震撼的"
slavery,n. 奴役；奴隶制度；奴隶身份
statesman,n. 政治家；国务活动家
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
stockings,n. 长袜，球袜；丝袜
strategy,n. 战略，策略
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
survivor,n. 幸存者；生还者；残存物
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
terrified,"v. 使恐惧；恐吓（terrify的过去分词）
adj. 感到恐惧的；受惊吓的"
thermos,n. 热水瓶
toil,"n. 辛苦；苦工；网；圈套
vt. 费力地做；使…过度劳累
vi. 辛苦工作；艰难地行进"
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
vengeful,adj. 复仇的，报复的；复仇心重的
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
westwards,"adv. 向西
adj. 向西的"
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
colonel,n. 陆军上校
daisy,"n. 雏菊；菊科植物；极好的东西
adj. 极好的；上等的"
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
drummer,n. 鼓手；旅行推销员；跑街
sarcastic,adj. 挖苦的；尖刻的，辛辣的
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
underpants,n. 内衣裤；衬裤
a sequence of, 一系列的；一连串；一个…的序列
bring sth. on sb.,
by and by,"na. 不久以后
 不一会儿；渐渐地；迟早"
call in,"na. 招；叫进；引入；调入
 召来；来访；收回"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
 拜访；呼吁；拜访某人"
declare war on,"na. 对…宣战
 对。。。宣战；向……宣战；发动进攻"
from then on,"na. 从那时起
 从那以后；从那时开始；从此以后"
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
 交出；让与；交给"
in a flash,"na. 刹那间；瞬间；一下子
 一瞬间；一刹那间；转瞬间"
in peace,"na. 平平安安；安心
 和平地；安静；宁静"
in surprise,"adv. 惊奇地
 吃惊地；惊讶地；惊奇的"
join up,"na. 入伍；联合起来；同“join”
 连接起来；参军；接入"
keep off,"na. 不让接近；不接近
 避开；远离；防止"
keep one's word,"na. 守约；履行诺言；说话算话
 守信用；遵守诺言；信守诺言"
look down on,"v. 轻视；看不起
 瞧不起；蔑视；看不起某人"
look into,"na. 窥视；调查；过问
 研究；检查；了解"
make a breakthrough, 突破；取得突破；取得重大突破
push up daisies,(因死被)埋葬在地下，长眠地下，入土；死亡
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
 提前；推荐；表提出"
rope off, 用绳子隔开；用强围起；用绳索隔开
send for,"na. 派人去叫；遣人去拿；乞求
 派人去请；派人去请，召唤；派人去拿"
sort out,vt.& vi. 把…安排妥当; （从…中）区分出来，辨别出来; 分类; 整理; 整顿; 解决
take sb. in one's arms,
the more ... the more ...,
to one's astonishment,"na. 令…惊讶的是
 使人吃惊的是；使某人惊奇的是；令某人惊讶的是"
Prime Minister,
